experiment_id,game,run_id,round,player_a_label,player_b_label,winner,player_a_score,player_b_score,tie_score,notes
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,1,SFT,Qwen,Tie,0,0,1000,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,2,SFT,Qwen,Qwen,72,536,383,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,3,SFT,Qwen,Qwen,66,516,418,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,4,SFT,Qwen,Tie,0,0,1000,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,5,SFT,Qwen,Qwen,121,473,404,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,6,SFT,Qwen,Qwen,14,970,8,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,7,SFT,Qwen,Qwen,30,562,407,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,8,SFT,Qwen,Qwen,26,584,388,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,9,SFT,Qwen,Qwen,23,608,367,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,10,SFT,Qwen,Qwen,40,572,382,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,11,SFT,Qwen,Qwen,21,596,360,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,12,SFT,Qwen,Qwen,27,595,377,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,13,SFT,Qwen,Qwen,13,627,360,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,14,SFT,Qwen,Qwen,33,555,411,
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,15,SFT,Qwen,SFT,926,26,29,
8turn_vs_qwen30b_new,BattleSnake,,1,SFT,Qwen,Qwen,81,503,413,user provided table
8turn_vs_qwen30b_new,BattleSnake,,2,SFT,Qwen,Qwen,93,461,443,user provided table
8turn_vs_qwen30b_new,BattleSnake,,3,SFT,Qwen,Qwen,105,459,433,user provided table
8turn_vs_qwen30b_new,BattleSnake,,4,SFT,Qwen,Qwen,109,466,423,user provided table
8turn_vs_qwen30b_new,BattleSnake,,5,SFT,Qwen,Tie,136,278,585,user provided table
8turn_vs_qwen30b_new,BattleSnake,,6,SFT,Qwen,Qwen,69,660,271,user provided table
8turn_vs_qwen30b_new,BattleSnake,,7,SFT,Qwen,Qwen,100,494,397,user provided table
8turn_vs_qwen30b_new,BattleSnake,,8,SFT,Qwen,Qwen,1,997,1,user provided table
8turn_vs_qwen30b_new,BattleSnake,,9,SFT,Qwen,Qwen,56,611,331,user provided table
8turn_vs_qwen30b_new,BattleSnake,,10,SFT,Qwen,SFT,715,224,60,user provided table
