experiment_id,game,run_id,round_range,player_a_label,player_b_label,player_a_total,player_b_total,tie_total,player_a_round_wins,player_b_round_wins,tie_rounds,command,metadata_path,source,notes
2turn_vs_qwen30b_260307110538,BattleSnake,260307110538,r1-r15,SFT,Qwen,1412,7220,6294,1,12,2,uv run python qwen/run_s1000_safe.py qwen/run_sft_2turns_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_2turns_vs_qwen30b_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_overfit_protocol_test_2turns.qwen3-coder-30b-base.run_sft_2turns_vs_qwen30b_battlesnake_r15_s1000.260307110538/metadata.json,metadata path + user table,Severe Qwen advantage; tie rounds at r1 and r4.
8turn_vs_qwen30b_new,BattleSnake,,r1-r15,SFT,Qwen,1602,8059,5288,1,12,2,uv run python qwen/run_s1000_safe.py qwen/run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000_new,,user table,Run label: run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000_new.
4turn_vs_qwen30b_260307060026,BattleSnake,260307060026,r1-r15,SFT,Qwen,4355,2717,7876,6,2,7,uv run python qwen/run_s1000_safe.py qwen/run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_base_claudesonnet45_battlesnake_edited_claude_r1_150_4turn.qwen3-coder-30b-base.run_sft_8turns_vs_qwen30b_battlesnake_r15_s1000.260307060026/metadata.json,metadata path + user analysis,0/0/1000 rounds r4 and r6 from Qwen missing run_server; r12-r15 from SFT missing run_server.
weighted_vs_qwen30b_260307132150,BattleSnake,260307132150,r1-r15,SFT,Qwen,3988,5385,5578,4,6,5,uv run python qwen/run_s1000_safe.py qwen/run_sft_weighted_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_weighted_vs_qwen30b_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_phase1_top5_w10.qwen3-coder-30b-base.run_sft_weighted_vs_qwen30b_battlesnake_r15_s1000.260307132150/metadata.json,metadata path + user analysis,Stable output version; r5 Qwen service unavailable; r10 Qwen startup block broken.
4turn_vs_weighted_260308034950,BattleSnake,260308034950,r1-r15,4turn,weighted,5084,4828,5047,8,3,4,uv run python qwen/run_s1000_safe.py qwen/run_sft_4turns_vs_weighted_battlesnake_r15_s1000.yaml -s run_sft_4turns_vs_weighted_battlesnake_r15_s1000,,user table + prior analysis,Provided table starts at r1; real editing competition with one noisy runtime-failure round at r14.
6turn_vs_qwenplus_260311125520,BattleSnake,260311125520,r1-r15,6turn,qwenplus,11675,798,2447,13,0,2,uv run python qwen/run_s1000_safe.py qwen/run_sft_6turns_vs_qwenplus_battlesnake_r15_s1000.yaml -s run_sft_6turns_vs_qwenplus_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_base_claudesonnet45_battlesnake_edited_claude_r1_430_6turn.qwen3-coder-plus-2025-09-23.run_sft_6turns_vs_qwenplus_battlesnake_r15_s1000.260311125520/metadata.json,metadata json,6turn dominated. Tie rounds at r5 and r8 were 0/0/1000 with both submissions valid; r15 qwenplus valid_submit=false due to missing info/start/end/move.
weighted_vs_selfplay_260309124344,BattleSnake,260309124344,r1-r15,w10a,selfplaysft,3237,863,10030,4,1,10,,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_phase1_top5_w10_selfplaysft.merge_phase1_top5_w10a.run_weighted_vs_selfplay.260309124344/metadata.json,metadata json,r2: 0/0/1000 || r4: selfplaysft valid_submit=false; selfplaysft invalid: There should be a `def move(` function implemented in `main.py` | Don't change the function signatures! || r7: 0/0/1000 || r8: 0/0/1000 || r9: 0/0/1000 || r10: 0/0/1000 || r11: 0/0/1000 || r12: 0/0/1000 || r13: 0/0/1000 || r14: 0/0/1000 || r15: 0/0/1000
sft_6turns_vs_qwen30b_battlesnake_r15_s1000_260309143501,BattleSnake,260309143501,r1-r15,6turn,Qwen,5948,4388,4630,9,3,3,uv run python qwen/run_s1000_safe.py qwen/run_sft_6turns_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_6turns_vs_qwen30b_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_base_claudesonnet45_battlesnake_edited_claude_r1_430_6turn.qwen3-coder-30b-base.run_sft_6turns_vs_qwen30b_battlesnake_r15_s1000.260309143501/metadata.json,metadata json,r2: 0/0/1000 || r14: 0/0/1000
sft_weighted5k_vs_qwen30b_battlesnake_r15_s1000_260309165959,BattleSnake,260309165959,r1-r15,weighted5k,Qwen,94,8889,6016,0,9,6,uv run python qwen/run_s1000_safe.py qwen/run_sft_weighted5k_vs_qwen30b_battlesnake_r15_s1000.yaml -s run_sft_weighted5k_vs_qwen30b_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_phase1_top5_w10_5k.qwen3-coder-30b-base.run_sft_weighted5k_vs_qwen30b_battlesnake_r15_s1000.260309165959/metadata.json,metadata json,r2: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | There should be a `def move(` function implemented in `main.py` | Don't change the function signatures! || r3: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | There should be a `def move(` function implemented in `main.py` | Don't change the function signatures! || r4: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | There should be a `def move(` function implemented in `main.py` | Don't change the function signatures! || r5: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | There should be a `def move(` function implemented in `main.py` | Don't change the function signatures! || r6: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | Don't change the function signatures! || r7: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | Don't change the function signatures! || r8: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | Don't change the function signatures! || r9: weighted5k valid_submit=false; weighted5k invalid: There should be a `def info(` function implemented in `main.py` | There should be a `def start(` function implemented in `main.py` | There should be a `def end(` function implemented in `main.py` | Don't change the function signatures! || r10: 0/0/1000 || r11: 0/0/1000 || r12: 0/0/1000 || r13: 0/0/1000 || r14: 0/0/1000 || r15: 0/0/1000
sft_6turns_vs_weighted1k_battlesnake_r15_s1000_260310014746,BattleSnake,260310014746,r1-r15,6turn,weighted,8362,3711,2885,11,1,3,uv run python qwen/run_s1000_safe.py qwen/run_sft_6turns_vs_weighted1k_battlesnake_r15_s1000.yaml -s run_sft_6turns_vs_weighted1k_battlesnake_r15_s1000,/home/ning/CodeClash/logs/z0502/PvpTournament.BattleSnake.r15.s1000.p2.merge_base_claudesonnet45_battlesnake_edited_claude_r1_430_6turn.merge_phase1_top5_w10.run_sft_6turns_vs_weighted1k_battlesnake_r15_s1000.260310014746/metadata.json,metadata json,r14: 0/0/1000
